Word		Original_feature		Predicted_feature
तिलहन		m		m
के		m		m
उत्पादन		m		m
को		UNK		UNK
लेकर		any		any
उद्योग		m		m
जगत		m		any
और		UNK		UNK
कृषि		f		f
मंत्रालय		m		m
एक		any		any
बार		f		f
फिर		UNK		UNK
अलग		any		any
-		UNK		UNK
अलग		any		any
दावे		m		m
कर		m		m
रहे		m		m
हैं		any		any
।		UNK		UNK
उद्योग		m		m
जगत		m		m
का		m		m
कहना		any		any
है		any		any
कि		UNK		UNK
इस		any		any
साल		m		m
खरीफ		m		f
सीजन		m		m
के		UNK		UNK
दौरान		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
130		any		any
लाख		any		any
टन		m		m
होगा		m		m
।		UNK		UNK
जबकि		UNK		UNK
कृषि		f		f
मंत्रालय		m		m
के		UNK		UNK
मुताबिक		UNK		UNK
इस		any		any
साल		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
145.6		any		any
लाख		any		any
टन		m		m
रहने		any		any
का		m		m
अनुमान		m		m
है		any		any
,		UNK		UNK
जो		any		any
पिछले		m		m
साल		m		m
की		f		f
तुलना		f		f
में		UNK		UNK
करीब		UNK		UNK
2.5		any		any
फीसदी		f		f
कम		UNK		UNK
है		any		any
।		UNK		UNK
लेकिन		UNK		UNK
उद्योग		m		m
का		m		m
कहना		any		any
है		any		any
कि		UNK		UNK
इस		any		any
साल		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
पिछले		m		m
साल		m		m
की		f		f
तुलना		f		f
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		m		m
।		UNK		UNK
उद्योग		m		m
जगत		m		m
और		UNK		UNK
कृषि		f		f
मंत्रालय		m		m
ने		UNK		UNK
खरीफ		m		f
सीज़न		m		m
के		UNK		m
पहले		m		m
अग्रिम		any		any
अनुमानों		m		m
को		UNK		UNK
जारी		any		any
किया		m		m
है		any		any
।		UNK		UNK
तिलहन		m		m
उद्योग		m		m
और		UNK		UNK
ट्रेड		m		f
की		f		f
सबसे		UNK		UNK
बड़ी		f		f
संस्था		f		f
सेंट्रल		any		any
ऑर्गेनाइजेशन		f		m
फॉर		UNK		UNK
ऑयल		m		m
इंडस्ट्री		f		m
एंड		UNK		UNK
ट्रेड		m		m
यानि		UNK		UNK
कोइट		m		m
का		m		m
कहना		m		any
है		any		any
कि		UNK		UNK
इस		any		any
साल		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
कम		UNK		UNK
रहने		any		any
की		f		f
उम्मीद		f		f
की		f		f
जा		any		any
रही		f		f
है		any		any
।		UNK		UNK
उद्योग		m		m
जगत		m		m
दावा		m		m
करता		m		m
है		any		any
कि		UNK		UNK
इस		any		any
खरीफ		m		f
सीज़न		m		m
